CSD Code,Census subdivision (CSD) name,2006 Income Score,2006 Education Score,2006 Housing Score,2006 Labour Force Activity Score,2006 CWB Score,2006 2B Population,Type of collectivity,Province
2439155,Daveluyville,72,42,98,81,73,945,Other,Quebec
2439165,Maddington,73,46,97,92,77,410,Other,Quebec
2439170,Saint-Louis-de-Blandford,79,51,95,85,78,980,Other,Quebec
2440005,Saint-Joseph-de-Ham-Sud,,,,,75,220,Other,Quebec
2440010,Saint-Adrien,78,35,95,88,74,485,Other,Quebec
2440017,Wotton,76,51,94,88,77,1485,Other,Quebec
2440025,Saint-Camille,74,57,95,89,79,445,Other,Quebec
2440032,Saint-Georges-de-Windsor,77,50,93,81,75,900,Other,Quebec
2440043,Asbestos,78,50,95,82,76,6655,Other,Quebec
2440047,Danville,77,47,90,83,74,3945,Other,Quebec
2441012,Saint-Isidore-de-Clifton,68,33,99,83,71,780,Other,Quebec
2441020,Chartierville,67,41,87,81,69,410,Other,Quebec
2441027,La Patrie,77,48,91,86,75,805,Other,Quebec
2441037,Newport,64,43,90,72,67,785,Other,Quebec
2441038,Cookshire-Eaton,76,48,95,85,76,4955,Other,Quebec
2441055,Ascot Corner,81,52,97,89,80,2595,Other,Quebec
2441060,East Angus,77,47,95,84,76,3290,Other,Quebec
2441065,Westbury,76,49,96,89,78,990,Other,Quebec
2441070,Bury,72,51,93,85,75,1230,Other,Quebec
2441075,Hampden,,,,,73,175,Other,Quebec
2441080,Scotstown,68,44,95,76,71,585,Other,Quebec
2441085,Lingwick,,,,,,,Other,Quebec
2441098,Weedon,75,42,95,80,73,2630,Other,Quebec
2441117,Dudswell,78,53,94,83,77,1615,Other,Quebec
2442005,Stoke,81,58,93,88,80,2700,Other,Quebec
2442020,Saint-François-Xavier-de-Brompton,81,52,97,86,79,2020,Other,Quebec
2442025,Saint-Denis-de-Brompton,89,64,99,90,85,3075,Other,Quebec
2442032,Racine,90,52,96,86,81,1265,Other,Quebec
2442040,Bonsecours,82,47,89,91,77,545,Other,Quebec
2442045,Lawrenceville,81,54,92,92,80,640,Other,Quebec
2442050,Sainte-Anne-de-la-Rochelle,73,51,98,88,78,640,Other,Quebec
2442055,Valcourt,84,52,97,85,79,2310,Other,Quebec
2442060,Valcourt,84,52,98,88,81,1025,Other,Quebec
2442065,Maricourt,70,50,96,84,75,435,Other,Quebec
2442070,Kingsbury,,,,,70,100,Other,Quebec
2442075,Melbourne,78,55,95,82,78,1095,Other,Quebec
2442078,Ulverton,78,64,96,88,81,360,Other,Quebec
2442088,Windsor,81,47,93,87,77,5200,Other,Quebec
2442095,Val-Joli,76,51,89,85,75,1475,Other,Quebec
2442098,Richmond,77,48,96,86,77,3230,Other,Quebec
2442100,Saint-Claude,80,44,93,86,75,1100,Other,Quebec
2442110,Cleveland,74,45,98,83,75,1530,Other,Quebec
2443027,Sherbrooke,83,61,96,86,81,144595,Other,Quebec
2444003,Saint-Malo,77,43,93,88,75,515,Other,Quebec
2444005,Saint-Venant-de-Paquette,,,,,,55,Other,Quebec
2444010,East Hereford,85,47,93,90,79,430,Other,Quebec
2444015,Saint-Herménégilde,74,40,92,80,71,720,Other,Quebec
2444023,Dixville,72,50,95,92,77,650,Other,Quebec
2444037,Coaticook,77,46,96,87,77,8965,Other,Quebec
2444045,Barnston-Ouest,75,58,92,85,77,580,Other,Quebec
2444050,Stanstead-Est,80,57,92,90,80,625,Other,Quebec
2444055,Sainte-Edwidge-de-Clifton,69,51,96,92,77,440,Other,Quebec
2444060,Martinville,76,57,97,85,79,450,Other,Quebec
2444071,Compton,77,54,94,90,79,2790,Other,Quebec
2444080,Waterville,82,57,96,85,80,1900,Other,Quebec
2445008,Stanstead,76,44,93,85,74,2920,Other,Quebec
2445020,Ogden,78,46,81,81,71,760,Other,Quebec
2445025,Stanstead,83,62,93,83,80,1065,Other,Quebec
2445030,Potton,80,54,95,83,78,1780,Other,Quebec
2445035,Ayer's Cliff,85,52,96,85,80,1045,Other,Quebec
2445043,Hatley,86,60,91,88,81,775,Other,Quebec
2445050,North Hatley,88,64,96,81,82,615,Other,Quebec
2445055,Hatley,92,69,98,87,87,1785,Other,Quebec
2445060,Sainte-Catherine-de-Hatley,89,63,96,85,83,2320,Other,Quebec
2445072,Magog,84,53,96,84,79,23580,Other,Quebec
2445080,Saint-Benoît-du-Lac,,,,,,45,Other,Quebec
2445085,Austin,93,63,96,80,83,1405,Other,Quebec
2445093,Eastman,93,58,95,79,81,1575,Other,Quebec
2445095,Bolton-Est,86,56,85,84,78,700,Other,Quebec
2445100,Saint-Étienne-de-Bolton,78,51,93,83,76,495,Other,Quebec
2445105,Stukely-Sud,81,51,95,86,78,940,Other,Quebec
2445115,Orford,90,65,97,85,84,2920,Other,Quebec
2446005,Abercorn,93,61,85,82,80,365,Other,Quebec
2446010,Frelighsburg,83,58,94,86,80,1015,Other,Quebec
2446017,Saint-Armand,81,55,97,89,81,1145,Other,Quebec
2446025,Saint-Pierre-de-Véronne-à-Pike-River,73,45,82,86,71,535,Other,Quebec
2446030,Stanbridge Station,76,32,93,88,72,305,Other,Quebec
2446035,Bedford,81,45,96,86,77,2460,Other,Quebec
2446040,Bedford,78,53,96,89,79,715,Other,Quebec
2446045,Stanbridge East,76,49,92,84,75,835,Other,Quebec
2446050,Dunham,83,59,96,89,82,3365,Other,Quebec
2446058,Sutton,91,63,94,87,84,3735,Other,Quebec
2446065,Bolton-Ouest,88,64,96,88,84,725,Other,Quebec
2446070,Brome,68,58,87,83,74,275,Other,Quebec
2446075,Lac-Brome,94,63,96,83,84,5435,Other,Quebec
2446080,Cowansville,80,51,96,87,79,11605,Other,Quebec
2446085,East Farnham,77,51,98,87,78,485,Other,Quebec
2446090,Brigham,82,50,95,88,79,2400,Other,Quebec
2446095,Saint-Ignace-de-Stanbridge,82,51,99,88,80,615,Other,Quebec
2446100,Notre-Dame-de-Stanbridge,79,50,95,91,79,680,Other,Quebec
2446105,Sainte-Sabine,86,52,99,91,82,1045,Other,Quebec
2446112,Farnham,78,45,95,86,76,7640,Other,Quebec
2447005,Bromont,91,68,96,88,86,6045,Other,Quebec
2447010,Saint-Alphonse,81,53,97,91,80,2915,Other,Quebec
2447015,Granby,82,52,97,86,79,46100,Other,Quebec
2447020,Granby,85,57,97,91,83,11735,Other,Quebec
2447025,Waterloo,77,46,93,86,76,3910,Other,Quebec
2447030,Warden,69,37,89,80,69,360,Other,Quebec
2447035,Shefford,85,60,98,88,83,5935,Other,Quebec
2447040,Saint-Joachim-de-Shefford,77,47,96,88,77,1090,Other,Quebec
2447047,Roxton Pond,77,48,96,87,77,3590,Other,Quebec
2447055,Sainte-Cécile-de-Milton,76,49,93,90,77,2000,Other,Quebec
2448005,Béthanie,75,39,92,82,72,305,Other,Quebec
2448010,Roxton Falls,76,32,97,83,72,1325,Other,Quebec
2448015,Roxton,78,44,96,90,77,1010,Other,Quebec
2448020,Sainte-Christine,68,46,90,85,72,560,Other,Quebec
2448028,Acton Vale,78,44,96,85,76,7520,Other,Quebec
2448038,Upton,77,46,95,90,77,1945,Other,Quebec
2448045,Saint-Théodore-d'Acton,76,40,93,86,73,1495,Other,Quebec
2448050,Saint-Nazaire-d'Acton,72,43,96,86,74,830,Other,Quebec
2449005,Saint-Félix-de-Kingsey,72,37,94,83,72,1430,Other,Quebec
2449015,Durham-Sud,71,46,89,81,72,1015,Other,Quebec
2449020,Lefebvre,70,46,93,82,73,805,Other,Quebec
2449025,L'Avenir,76,50,95,83,76,1260,Other,Quebec
2449030,Saint-Lucien,80,49,92,83,76,1505,Other,Quebec
2449040,Wickham,77,45,97,89,77,2505,Other,Quebec
2449048,Saint-Germain-de-Grantham,79,55,96,86,79,3995,Other,Quebec
2449058,Drummondville,81,54,96,86,79,65720,Other,Quebec
2449070,Saint-Cyrille-de-Wendover,81,52,96,87,79,4050,Other,Quebec
2449075,Notre-Dame-du-Bon-Conseil,77,51,98,89,79,1280,Other,Quebec
2449080,Notre-Dame-du-Bon-Conseil,76,48,99,91,79,910,Other,Quebec
2449085,Sainte-Brigitte-des-Saults,79,47,93,86,76,740,Other,Quebec
2449095,Saint-Majorique-de-Grantham,82,48,97,85,78,1120,Other,Quebec
2449100,Saint-Edmond-de-Grantham,75,48,93,88,76,630,Other,Quebec
2449105,Saint-Eugène,82,46,93,83,76,1130,Other,Quebec
2449113,Saint-Guillaume,77,44,94,87,75,1510,Other,Quebec
2449125,Saint-Bonaventure,74,48,94,88,76,1000,Other,Quebec
2449130,Saint-Pie-de-Guire,81,52,95,84,78,435,Other,Quebec
2450005,Sainte-Eulalie,72,48,95,81,74,900,Other,Quebec
2450013,Aston-Jonction,76,51,98,86,78,370,Other,Quebec
2450023,Saint-Wenceslas,74,45,92,84,74,1090,Other,Quebec
2450030,Saint-Célestin,82,49,95,90,79,710,Other,Quebec
2450035,Saint-Célestin,78,50,95,86,77,625,Other,Quebec
2450042,Saint-Léonard-d'Aston,78,54,98,89,80,2110,Other,Quebec
2450050,Sainte-Perpétue,71,38,93,88,73,955,Other,Quebec
2450057,Sainte-Monique,71,49,96,91,77,535,Other,Quebec
2450065,Grand-Saint-Esprit,81,57,87,90,79,465,Other,Quebec
2450072,Nicolet,82,56,96,86,80,7265,Other,Quebec
2450085,La Visitation-de-Yamaska,75,55,91,91,78,380,Other,Quebec
2450090,Saint-Zéphirin-de-Courval,78,45,92,90,76,825,Other,Quebec
2450095,Saint-Elphège,,,,,78,245,Other,Quebec
2450100,Baie-du-Febvre,75,42,91,89,75,1060,Other,Quebec
2450113,Pierreville,76,43,94,82,74,2295,Other,Quebec
2450128,Saint-François-du-Lac,77,42,97,83,75,1980,Other,Quebec
2450802,Odanak,65,40,92,75,68,470,First Nation,Quebec
2451008,Maskinongé,74,45,94,87,75,2185,Other,Quebec
2451015,Louiseville,78,44,96,83,75,6940,Other,Quebec
2451020,Yamachiche,88,46,94,84,78,2720,Other,Quebec
2451025,Saint-Barnabé,81,54,96,83,78,1130,Other,Quebec
2451030,Saint-Sévère,75,41,100,80,74,410,Other,Quebec
2451035,Saint-Léon-le-Grand,75,45,95,86,75,945,Other,Quebec
2451040,Sainte-Ursule,77,47,96,80,75,1395,Other,Quebec
2451045,Saint-Justin,78,46,97,82,76,1040,Other,Quebec
2451050,Saint-Édouard-de-Maskinongé,69,32,95,73,67,800,Other,Quebec
2451055,Sainte-Angèle-de-Prémont,70,38,95,76,70,620,Other,Quebec
2451060,Saint-Paulin,78,49,98,87,78,1555,Other,Quebec
2451065,Saint-Alexis-des-Monts,73,39,92,78,70,3095,Other,Quebec
2451070,Saint-Mathieu-du-Parc,87,61,95,84,82,1375,Other,Quebec
2451075,Saint-Élie-de-Caxton,82,52,97,79,77,1660,Other,Quebec
2451080,Charette,78,45,90,84,74,915,Other,Quebec
2451085,Saint-Boniface,81,56,95,84,79,4180,Other,Quebec
2451090,Saint-Étienne-des-Grès,81,54,95,84,79,3840,Other,Quebec
2452007,Lavaltrie,79,50,96,86,78,12080,Other,Quebec
2452017,Lanoraie,80,54,95,86,79,3965,Other,Quebec
2452030,Sainte-Élisabeth,75,46,97,86,76,1345,Other,Quebec
2452035,Berthierville,78,47,96,84,76,3890,Other,Quebec
2452040,Sainte-Geneviève-de-Berthier,81,47,95,84,77,2300,Other,Quebec
2452045,Saint-Ignace-de-Loyola,81,48,98,85,78,1925,Other,Quebec
2452050,La Visitation-de-l'Île-Dupas,87,61,100,90,85,610,Other,Quebec
2452055,Saint-Barthélemy,76,43,95,83,74,2035,Other,Quebec
2452062,Saint-Cuthbert,75,46,93,85,75,1930,Other,Quebec
2452070,Saint-Norbert,75,52,94,83,76,1065,Other,Quebec
2452075,Saint-Cléophas-de-Brandon,72,44,94,79,72,275,Other,Quebec
2452080,Saint-Gabriel,72,40,94,76,71,2710,Other,Quebec
2452085,Saint-Gabriel-de-Brandon,81,44,98,79,75,2775,Other,Quebec
2452090,Saint-Didace,75,50,91,78,73,665,Other,Quebec
2452095,Mandeville,74,42,94,73,71,2210,Other,Quebec
2453005,Saint-David,75,44,95,84,75,795,Other,Quebec
2453010,Massueville,77,42,97,81,74,520,Other,Quebec
2453015,Saint-Aimé,80,47,98,89,78,525,Other,Quebec
2453020,Saint-Robert,79,46,93,86,76,1710,Other,Quebec
2453025,Sainte-Victoire-de-Sorel,84,52,96,83,78,2410,Other,Quebec
2453032,Saint-Ours,88,55,93,86,80,1700,Other,Quebec
2453040,Saint-Roch-de-Richelieu,82,44,95,81,75,1870,Other,Quebec
2453050,Saint-Joseph-de-Sorel,71,39,90,73,68,1655,Other,Quebec
2453052,Sorel-Tracy,83,51,97,81,78,33065,Other,Quebec
2453065,Sainte-Anne-de-Sorel,90,56,97,87,82,2730,Other,Quebec
2453072,Yamaska,79,51,94,82,76,1620,Other,Quebec
2453085,Saint-Gérard-Majella,71,40,90,84,71,250,Other,Quebec
2454008,Saint-Pie,77,45,96,89,77,5085,Other,Quebec
2454017,Saint-Damase,80,47,98,92,79,2465,Other,Quebec
2454025,Sainte-Madeleine,81,49,98,92,80,2175,Other,Quebec
2454030,Sainte-Marie-Madeleine,83,53,97,88,80,2645,Other,Quebec
2454035,La Présentation,83,55,95,91,81,2115,Other,Quebec
2454048,Saint-Hyacinthe,83,53,97,87,80,49960,Other,Quebec
2454060,Saint-Dominique,79,45,95,90,78,2120,Other,Quebec
2454065,Saint-Valérien-de-Milton,78,47,95,88,77,1710,Other,Quebec
2454072,Saint-Liboire,78,49,97,91,79,2910,Other,Quebec
2454090,Saint-Simon,79,53,97,91,80,1220,Other,Quebec
2454095,Sainte-Hélène-de-Bagot,78,48,96,89,78,1435,Other,Quebec
2454100,Saint-Hugues,76,48,94,89,77,1310,Other,Quebec
2454105,Saint-Barnabé-Sud,79,43,95,89,77,860,Other,Quebec
2454110,Saint-Jude,73,48,93,89,76,1120,Other,Quebec
2454115,Saint-Bernard-de-Michaudville,77,50,97,88,78,485,Other,Quebec
2454120,Saint-Louis,72,44,96,78,72,725,Other,Quebec
2454125,Saint-Marcel-de-Richelieu,70,45,91,82,72,580,Other,Quebec
2455008,Ange-Gardien,79,49,98,93,80,2000,Other,Quebec
2455015,Saint-Paul-d'Abbotsford,82,51,95,90,80,2780,Other,Quebec
2455023,Saint-Césaire,80,48,96,88,78,5090,Other,Quebec
2455030,Sainte-Angèle-de-Monnoir,76,52,94,80,75,1150,Other,Quebec
2455037,Rougemont,81,47,96,90,79,2635,Other,Quebec
2455048,Marieville,82,47,94,87,78,7710,Other,Quebec
2455057,Richelieu,85,56,96,89,81,4985,Other,Quebec
2455065,Saint-Mathias-sur-Richelieu,86,55,98,88,82,4480,Other,Quebec
2456005,Venise-en-Québec,84,53,95,78,77,1310,Other,Quebec
2456010,Saint-Georges-de-Clarenceville,77,44,95,81,74,1105,Other,Quebec
2456015,Noyan,76,47,91,85,75,1355,Other,Quebec
2456023,Lacolle,81,49,93,85,77,2510,Other,Quebec
2456030,Saint-Valentin,81,55,97,91,81,495,Other,Quebec
2456035,Saint-Paul-de-l'Île-aux-Noix,77,47,94,81,75,1995,Other,Quebec
2456042,Henryville,79,40,94,87,75,1485,Other,Quebec
2456050,Saint-Sébastien,78,48,96,91,79,660,Other,Quebec
2456055,Saint-Alexandre,81,55,95,92,81,2340,Other,Quebec
2456060,Sainte-Anne-de-Sabrevois,77,47,91,90,76,1870,Other,Quebec
2456065,Saint-Blaise-sur-Richelieu,84,50,95,87,79,2045,Other,Quebec
2456083,Saint-Jean-sur-Richelieu,84,55,97,88,81,86080,Other,Quebec
2456097,Mont-Saint-Grégoire,85,57,96,91,82,2910,Other,Quebec
2456105,Sainte-Brigide-d'Iberville,77,53,95,91,79,1220,Other,Quebec
2457005,Chambly,87,62,97,91,84,22435,Other,Quebec
2457010,Carignan,93,61,96,90,85,7415,Other,Quebec
2457020,Saint-Basile-le-Grand,89,66,98,91,86,15600,Other,Quebec
2457025,McMasterville,86,62,97,90,84,5095,Other,Quebec
2457030,Otterburn Park,87,68,96,90,85,8460,Other,Quebec
2457033,Saint-Jean-Baptiste,84,50,96,90,80,3020,Other,Quebec
2457035,Mont-Saint-Hilaire,96,69,97,90,88,15585,Other,Quebec
2457040,Beloeil,88,62,98,89,84,18620,Other,Quebec
2457045,Saint-Mathieu-de-Beloeil,87,58,95,89,82,2275,Other,Quebec
2457050,Saint-Marc-sur-Richelieu,92,62,97,92,86,1875,Other,Quebec
2457057,Saint-Charles-sur-Richelieu,85,56,96,88,81,1740,Other,Quebec
2457068,Saint-Denis-sur-Richelieu,83,54,97,87,80,2195,Other,Quebec
2457075,Saint-Antoine-sur-Richelieu,94,62,96,89,85,1545,Other,Quebec
2458007,Brossard,90,67,95,86,84,70745,Other,Quebec
2458012,Saint-Lambert,100,76,96,88,90,21045,Other,Quebec
2458033,Boucherville,99,72,98,90,90,38500,Other,Quebec
2458037,Saint-Bruno-de-Montarville,97,74,97,88,89,24165,Other,Quebec
2458227,Longueuil,84,58,95,86,81,226820,Other,Quebec
2459010,Sainte-Julie,91,67,98,92,87,29020,Other,Quebec
2459015,Saint-Amable,79,46,96,89,78,8400,Other,Quebec
2459020,Varennes,90,65,98,92,86,20780,Other,Quebec
2459025,Verchères,88,58,97,90,83,5190,Other,Quebec
2459030,Calixa-Lavallée,76,57,96,90,80,530,Other,Quebec
2459035,Contrecoeur,86,49,96,87,79,5575,Other,Quebec
2460005,Charlemagne,83,51,95,88,79,5590,Other,Quebec
2460013,Repentigny,88,60,97,89,84,75730,Other,Quebec
2460020,Saint-Sulpice,84,55,97,90,82,3315,Other,Quebec
2460028,L'Assomption,84,56,96,89,81,16550,Other,Quebec
2460035,L'Épiphanie,78,45,97,86,77,4505,Other,Quebec
2460040,L'Épiphanie,76,46,96,86,76,3125,Other,Quebec
2461005,Saint-Paul,77,52,94,85,77,3975,Other,Quebec
2461013,Crabtree,82,57,95,86,80,3350,Other,Quebec
2461020,Saint-Pierre,88,47,94,87,79,300,Other,Quebec
2461025,Joliette,80,51,95,82,77,18325,Other,Quebec
2461027,Saint-Thomas,83,53,97,89,81,2860,Other,Quebec
2461030,Notre-Dame-des-Prairies,84,56,99,87,81,8220,Other,Quebec
2461035,Saint-Charles-Borromée,85,57,98,87,82,11695,Other,Quebec
2461040,Saint-Ambroise-de-Kildare,80,54,97,86,79,3465,Other,Quebec
2461045,Notre-Dame-de-Lourdes,76,47,96,87,77,2180,Other,Quebec
2461050,Sainte-Mélanie,82,50,97,84,78,2750,Other,Quebec
2462007,Saint-Félix-de-Valois,79,48,96,85,77,5735,Other,Quebec
2462015,Saint-Jean-de-Matha,81,47,95,79,76,4125,Other,Quebec
2462020,Sainte-Béatrix,79,53,97,79,77,1745,Other,Quebec
2462025,Saint-Alphonse-Rodriguez,82,51,94,82,77,3135,Other,Quebec
2462030,Sainte-Marcelline-de-Kildare,82,57,95,80,78,1420,Other,Quebec
2462037,Rawdon,78,51,96,82,76,9855,Other,Quebec
2462047,Chertsey,77,45,92,75,72,5005,Other,Quebec
2462053,Entrelacs,80,49,91,72,73,950,Other,Quebec
2462055,Notre-Dame-de-la-Merci,79,49,93,77,75,1045,Other,Quebec
2462060,Saint-Donat,84,55,96,79,79,4215,Other,Quebec
2462065,Saint-Côme,77,37,94,76,71,2140,Other,Quebec
2462070,Sainte-Émélie-de-l'Énergie,76,44,94,75,72,1680,Other,Quebec
2462075,Saint-Damien,74,43,93,73,71,2165,Other,Quebec
2462080,Saint-Zénon,79,47,97,78,75,1375,Other,Quebec
2462085,Saint-Michel-des-Saints,80,48,95,83,76,2680,Other,Quebec
2462802,Manawan,48,28,58,67,50,1845,First Nation,Quebec
2462902,Lac-Minaki,,,,,,,Other,Quebec
2462904,Lac-Devenyns,,,,,,,Other,Quebec
2462906,Baie-de-la-Bouteille,,,,,,,Other,Quebec
2462908,Lac-Matawin,,,,,,,Other,Quebec
2462910,Lac-Legendre,,,,,,,Other,Quebec
2462912,Saint-Guillaume-Nord,,,,,84,110,Other,Quebec
2462914,Lac-des-Dix-Milles,,,,,,,Other,Quebec
2462916,Lac-Santé,,,,,,,Other,Quebec
2462918,Baie-Obaoca,,,,,,,Other,Quebec
2462919,Lac-Cabasta,,,,,,,Other,Quebec
2462920,Baie-Atibenne,,,,,,,Other,Quebec
2462922,Lac-du-Taureau,,,,,,,Other,Quebec
2463005,Sainte-Marie-Salomé,77,52,90,84,76,1245,Other,Quebec
2463013,Saint-Jacques,79,51,95,86,78,3640,Other,Quebec
2463020,Saint-Alexis,82,50,87,89,77,555,Other,Quebec
2463025,Saint-Alexis,72,53,97,92,79,725,Other,Quebec
2463030,Saint-Esprit,77,42,94,85,75,1885,Other,Quebec
2463035,Saint-Roch-de-l'Achigan,79,47,95,86,77,4390,Other,Quebec
2463040,Saint-Roch-Ouest,73,53,100,85,78,270,Other,Quebec
2463048,Saint-Lin--Laurentides,76,43,95,84,74,14025,Other,Quebec
2463055,Saint-Calixte,74,44,93,76,72,5685,Other,Quebec
2463060,Sainte-Julienne,75,44,95,82,74,7935,Other,Quebec
2463065,Saint-Liguori,81,56,96,85,79,1855,Other,Quebec
2464008,Terrebonne,85,56,97,90,82,94385,Other,Quebec
2464015,Mascouche,84,56,97,89,81,33600,Other,Quebec
2465005,Laval,86,60,96,88,83,364625,Other,Quebec
2466007,Montréal-Est,80,48,94,85,77,3695,Other,Quebec
2466023,Montréal,83,62,92,84,80,1593725,Other,Quebec
2466032,Westmount,100,86,94,87,92,19805,Other,Quebec
2466047,Montréal-Ouest,100,81,95,89,91,5170,Other,Quebec
2466058,Côte-Saint-Luc,94,69,93,85,85,30265,Other,Quebec
2466062,Hampstead,100,81,94,87,91,6995,Other,Quebec
2466072,Mont-Royal,100,83,95,87,91,18655,Other,Quebec
2466087,Dorval,93,69,95,87,86,17880,Other,Quebec
2466092,L'Île-Dorval,,,,,,,Other,Quebec
2466097,Pointe-Claire,94,73,95,88,87,29880,Other,Quebec
2466102,Kirkland,98,75,98,88,90,20465,Other,Quebec
2466107,Beaconsfield,100,81,97,88,92,19065,Other,Quebec
2466112,Baie-D'Urfé,100,80,96,85,90,3890,Other,Quebec
2466117,Sainte-Anne-de-Bellevue,90,74,94,88,86,4765,Other,Quebec
2466127,Senneville,100,84,97,84,91,950,Other,Quebec
2466142,Dollard-Des Ormeaux,88,71,95,88,86,48690,Other,Quebec
2467005,Saint-Mathieu,82,49,96,86,78,1890,Other,Quebec
2467010,Saint-Philippe,84,52,97,90,81,5120,Other,Quebec
2467015,La Prairie,92,64,97,90,86,21520,Other,Quebec
2467020,Candiac,98,72,98,90,90,15950,Other,Quebec
2467025,Delson,85,56,96,90,82,7310,Other,Quebec
2467030,Sainte-Catherine,85,56,98,92,83,16000,Other,Quebec
2467035,Saint-Constant,86,57,98,90,83,23855,Other,Quebec
2467040,Saint-Isidore,82,52,96,89,80,2440,Other,Quebec
2467045,Mercier,85,57,97,89,82,10110,Other,Quebec
2467050,Châteauguay,84,56,96,86,81,41980,Other,Quebec
2467055,Léry,87,62,93,89,83,2385,Other,Quebec
2467802,Kahnawake,,,,,,,First Nation,Quebec
2468005,Saint-Bernard-de-Lacolle,78,48,90,88,76,1490,Other,Quebec
2468010,Hemmingford,72,42,90,88,73,755,Other,Quebec
2468015,Hemmingford,80,51,92,87,77,1760,Other,Quebec
2468020,Sainte-Clotilde-de-Châteauguay,72,33,94,83,71,1605,Other,Quebec
2468025,Saint-Patrice-de-Sherrington,77,40,96,88,75,1910,Other,Quebec
2468030,Napierville,78,50,93,88,77,3350,Other,Quebec
2468035,Saint-Cyprien-de-Napierville,83,56,96,90,81,1570,Other,Quebec
2468040,Saint-Jacques-le-Mineur,79,52,94,87,78,1630,Other,Quebec
2468045,Saint-Édouard,76,41,93,91,75,1210,Other,Quebec
2468050,Saint-Michel,81,45,98,88,78,2620,Other,Quebec
2468055,Saint-Rémi,81,45,96,90,78,5970,Other,Quebec
2469005,Havelock,83,55,94,83,79,750,Other,Quebec
2469010,Franklin,78,51,93,83,76,1650,Other,Quebec
2469017,Saint-Chrysostome,72,42,93,83,73,2585,Other,Quebec
2469025,Howick,83,50,99,88,80,595,Other,Quebec
2469030,Très-Saint-Sacrement,79,61,88,85,78,1215,Other,Quebec
2469037,Ormstown,79,46,92,84,75,3525,Other,Quebec
2469045,Hinchinbrooke,77,47,88,75,72,2365,Other,Quebec
2469050,Elgin,77,59,96,89,80,460,Other,Quebec
2469055,Huntingdon,73,40,95,83,73,2525,Other,Quebec
2469060,Godmanchester,74,49,92,81,74,1460,Other,Quebec
2469065,Sainte-Barbe,83,47,95,86,78,1450,Other,Quebec
2469070,Saint-Anicet,82,46,94,83,76,2720,Other,Quebec
2469075,Dundee,74,40,87,78,70,430,Other,Quebec
2469802,Akwesasne,,,,,,,First Nation,Quebec
2470005,Saint-Urbain-Premier,76,47,93,89,76,1120,Other,Quebec
2470012,Sainte-Martine,85,56,96,89,81,4210,Other,Quebec
2470022,Beauharnois,81,51,96,86,78,11690,Other,Quebec
2470030,Saint-Étienne-de-Beauharnois,80,53,99,90,80,775,Other,Quebec
2470035,Saint-Louis-de-Gonzague,82,58,95,87,80,1390,Other,Quebec
2470040,Saint-Stanislas-de-Kostka,81,47,97,85,78,1655,Other,Quebec
2470052,Salaberry-de-Valleyfield,82,49,95,83,77,38560,Other,Quebec
2471005,Rivière-Beaudette,77,50,95,83,76,1700,Other,Quebec
2471015,Saint-Télesphore,73,50,94,89,77,770,Other,Quebec
2471020,Saint-Polycarpe,81,50,90,87,77,1710,Other,Quebec
2471025,Saint-Zotique,86,54,99,88,82,5250,Other,Quebec
2471033,Les Coteaux,81,55,97,89,81,3735,Other,Quebec
2471040,Coteau-du-Lac,87,59,96,90,83,6240,Other,Quebec
2471045,Saint-Clet,82,54,95,95,82,1725,Other,Quebec
2471050,Les Cèdres,84,58,95,92,82,5715,Other,Quebec
2471055,Pointe-des-Cascades,84,54,98,89,81,1035,Other,Quebec
2471060,L'Île-Perrot,85,59,96,90,83,9825,Other,Quebec
2471065,Notre-Dame-de-l'Île-Perrot,91,68,98,92,87,9865,Other,Quebec
2471070,Pincourt,86,63,97,90,84,11155,Other,Quebec
2471075,Terrasse-Vaudreuil,90,63,96,89,85,1975,Other,Quebec
2471083,Vaudreuil-Dorion,89,63,97,91,85,25395,Other,Quebec
2471090,Vaudreuil-sur-le-Lac,98,69,97,92,89,1290,Other,Quebec
2471095,L'Île-Cadieux,,,,,92,130,Other,Quebec
2471100,Hudson,100,73,96,87,89,5085,Other,Quebec
2471105,Saint-Lazare,93,68,98,90,87,17015,Other,Quebec
2471110,Sainte-Marthe,77,49,92,81,75,1080,Other,Quebec
2471115,Sainte-Justine-de-Newton,73,44,88,90,74,930,Other,Quebec
2471125,Très-Saint-Rédempteur,81,48,94,92,79,735,Other,Quebec
2471133,Rigaud,86,56,94,86,81,6610,Other,Quebec
2471140,Pointe-Fortune,77,54,94,84,77,505,Other,Quebec
2472005,Saint-Eustache,86,56,96,88,82,41600,Other,Quebec
2472010,Deux-Montagnes,85,59,96,89,82,17300,Other,Quebec
2472015,Sainte-Marthe-sur-le-Lac,84,56,97,90,82,11250,Other,Quebec
2472020,Pointe-Calumet,80,44,96,87,77,6565,Other,Quebec
2472025,Saint-Joseph-du-Lac,84,53,97,90,81,4955,Other,Quebec
2472032,Oka,86,60,95,86,82,3275,Other,Quebec
2472043,Saint-Placide,82,49,96,86,78,1625,Other,Quebec
2472802,Kanesatake,,,,,,,First Nation,Quebec
2473005,Boisbriand,86,61,95,91,83,26425,Other,Quebec
2473010,Sainte-Thérèse,87,56,97,88,82,24885,Other,Quebec
2473015,Blainville,91,63,98,91,86,46495,Other,Quebec
2473020,Rosemère,97,70,98,89,88,14010,Other,Quebec
